run_id,batch_size,input_lens,output_lens,n_generated,max_input_len,max_output_len,batch_e2e_ms,status
0,2,"[43, 1042]","[301, 38]","[301, 38]",1042,301,4472.745,OK
1,2,"[38, 42]","[22, 452]","[22, 452]",42,452,6680.37,OK
2,2,"[233, 105]","[439, 127]","[439, 127]",233,439,6516.122,OK
3,2,"[10, 2]","[290, 102]","[290, 102]",10,290,4280.144,OK
4,2,"[62, 2]","[339, 13]","[339, 13]",62,339,4997.838,OK
5,2,"[625, 179]","[289, 464]","[289, 464]",625,464,7008.67,OK
6,2,"[49, 27]","[7, 406]","[7, 406]",49,406,6028.891,OK
7,2,"[279, 14]","[491, 417]","[491, 417]",279,491,7392.649,OK
8,2,"[10, 17]","[19, 325]","[19, 325]",17,325,4818.079,OK
9,2,"[41, 1817]","[453, 164]","[453, 164]",1817,453,6849.842,OK
10,2,"[33, 1]","[295, 215]","[295, 215]",33,295,4410.098,OK
11,2,"[14, 3]","[330, 178]","[330, 178]",14,330,4925.571,OK
12,2,"[15, 403]","[266, 102]","[266, 102]",403,266,3973.891,OK
13,2,"[117, 30]","[292, 466]","[292, 466]",117,466,6995.092,OK
14,2,"[9, 35]","[279, 198]","[279, 198]",35,279,4168.801,OK
15,2,"[96, 8]","[254, 243]","[254, 243]",96,254,3816.26,OK
16,2,"[14, 13]","[69, 165]","[69, 165]",14,165,2467.466,OK
17,2,"[11, 1027]","[767, 40]","[767, 40]",1027,767,11438.946,OK
18,2,"[8, 5]","[58, 582]","[58, 582]",8,582,8652.557,OK
19,2,"[15, 30]","[450, 499]","[450, 499]",30,499,7474.802,OK
20,2,"[8, 38]","[291, 369]","[291, 369]",38,369,5513.998,OK
21,2,"[24, 6]","[573, 767]","[573, 767]",24,767,11505.264,OK
22,2,"[5, 26]","[27, 319]","[27, 319]",26,319,4732.409,OK
23,2,"[6, 11]","[203, 86]","[203, 86]",11,203,3007.999,OK
24,2,"[342, 141]","[505, 156]","[505, 156]",342,505,7556.104,OK
25,2,"[7, 1]","[383, 202]","[383, 202]",7,383,5694.51,OK
26,2,"[15, 18]","[27, 742]","[27, 742]",18,742,11000.272,OK
27,2,"[34, 21]","[747, 199]","[747, 199]",34,747,11115.672,OK
28,2,"[8, 65]","[233, 402]","[233, 402]",65,402,5996.585,OK
29,2,"[592, 16]","[678, 657]","[678, 657]",592,678,10324.517,OK
30,2,"[65, 79]","[198, 240]","[198, 240]",79,240,3604.51,OK
31,2,"[12, 3]","[247, 774]","[247, 774]",12,774,11547.226,OK
32,2,"[21, 15]","[659, 375]","[659, 375]",21,659,9856.036,OK
33,2,"[9, 488]","[15, 311]","[15, 311]",488,311,4654.185,OK
34,2,"[14, 72]","[21, 108]","[21, 108]",72,108,1617.938,OK
35,2,"[31, 22]","[545, 272]","[545, 272]",31,545,8132.419,OK
36,2,"[165, 127]","[362, 248]","[362, 248]",165,362,5423.137,OK
37,2,"[16, 112]","[95, 234]","[95, 234]",112,234,3492.92,OK
38,2,"[11, 68]","[701, 48]","[701, 48]",68,701,10417.164,OK
39,2,"[14, 22]","[148, 401]","[148, 401]",22,401,5990.224,OK
40,2,"[31, 17]","[206, 767]","[206, 767]",31,767,11441.311,OK
41,2,"[26, 9]","[356, 296]","[356, 296]",26,356,5328.092,OK
42,2,"[17, 199]","[341, 381]","[341, 381]",199,381,5746.635,OK
43,2,"[3, 15]","[214, 769]","[214, 769]",15,769,11477.131,OK
44,2,"[18, 723]","[413, 58]","[413, 58]",723,413,6141.125,OK
45,2,"[12, 21]","[499, 212]","[499, 212]",21,499,7438.196,OK
46,2,"[73, 16]","[88, 91]","[88, 91]",73,91,1378.911,OK
47,2,"[223, 22]","[407, 307]","[407, 307]",223,407,6101.172,OK
48,2,"[1, 16]","[452, 463]","[452, 463]",16,463,6972.706,OK
49,2,"[12, 3]","[764, 147]","[764, 147]",12,764,11376.737,OK
